qs_rank;country_territory;region;name;description;country;city;latitude;longitude;website;image_url;institution_profile;teaching_languages
1001-1200;Włochy;Europa;Uniwersytet w Parmie;Uniwersytet w Parmie to włoski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Parma. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Włochy;Parma;44.801;10.328;https://www.unipr.it;http://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20dell%27Universit%C3%A0%20%28Parma%29%20-%20facciata%202017-04-06.jpg;ogólny;włoski, angielski
448;Niemcy;Europa;Uniwersytet w Bayreuth;Uniwersytet w Bayreuth to niemiecki uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Bayreuth. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Niemcy;Bayreuth;49.92885;11.5785;https://www.uni-bayreuth.de/;http://commons.wikimedia.org/wiki/Special:FilePath/Auditorium%20maximum%20der%20Universit%C3%A4t%20Bayreuth%20im%20Herbst%202006.jpg;ogólny;niemiecki, angielski
660;Włochy;Europa;Uniwersytet Ca’ Foscari w Wenecji;Uniwersytet Ca’ Foscari w Wenecji to włoski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Venice. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Włochy;Venice;45.434464;12.327145;https://www.unive.it;http://commons.wikimedia.org/wiki/Special:FilePath/%28Venice%29%20Ca%27%20Foscari.jpg;ogólny;włoski, angielski
801-850;Szwajcaria;Europa;ZHAW – Zürcher Hochschule für Angewandte Wissenschaften;ZHAW – Zürcher Hochschule für Angewandte Wissenschaften to szwajcarski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Szwajcaria;Canton of Zurich;47.49694444;8.729807;https://www.zhaw.ch;http://commons.wikimedia.org/wiki/Special:FilePath/Technikum%20Winterthur%20%282016%29.jpg;ogólny;niemiecki, francuski, włoski, angielski
461;Włochy;Europa;Uniwersytet Vita-Salute San Raffaele;Uniwersytet Vita-Salute San Raffaele to włoska uczelnia wyspecjalizowana w medycynie, naukach o zdrowiu i badaniach biomedycznych z siedzibą w Milan. Jej profil dobrze pasuje do kandydatów zainteresowanych kształceniem klinicznym, zdrowiem publicznym oraz projektami badawczymi związanymi z diagnostyką i terapią.;Włochy;Milan;45.5074;9.26;https://www.unisr.it;http://commons.wikimedia.org/wiki/Special:FilePath/Ospedale%20San%20Raffaele%2C%202013.jpg;ogólny;włoski, angielski
650;Włochy;Europa;Uniwersytet w Brescii;Uniwersytet w Brescii to włoski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Brescia. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Włochy;Brescia;45.538;10.211802;https://www.unibs.it;http://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20Martinengo%20Palatini%20%28Brescia%29%20fronte.JPG;ogólny;włoski, angielski
233;Włochy;Europa;Uniwersytet Padewski;Uniwersytet Padewski to włoski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Padua. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Włochy;Padua;45.42;11.866667;https://www.unipd.it;http://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20Bo%20%28Padua%29.jpg;ogólny;włoski, angielski
711-720;Niemcy;Europa;Uniwersytet Techniczny w Brunszwiku;Uniwersytet Techniczny w Brunszwiku to niemiecka uczelnia techniczna skoncentrowana na inżynierii, naukach ścisłych i technologiach stosowanych z siedzibą w Brunswick. Szczególnie dobrze pasuje do osób zainteresowanych laboratoriami, projektami badawczo-rozwojowymi, informatyką, automatyką, energetyką lub współpracą z przemysłem.;Niemcy;Brunswick;52.2736;10.5268;https://www.tu-braunschweig.de/;http://commons.wikimedia.org/wiki/Special:FilePath/Braunschweig%20altes%20TU-Geb%C3%A4ude.jpg;techniczny;niemiecki, angielski
98;Niemcy;Europa;Karlsruhe Institute of Technology;Karlsruhe Institute of Technology to niemiecka uczelnia techniczna skoncentrowana na inżynierii, naukach ścisłych i technologiach stosowanych z siedzibą w Karlsruhe. Szczególnie dobrze pasuje do osób zainteresowanych laboratoriami, projektami badawczo-rozwojowymi, informatyką, automatyką, energetyką lub współpracą z przemysłem.;Niemcy;Karlsruhe;49.0996;8.407;https://www.kit.edu/;http://commons.wikimedia.org/wiki/Special:FilePath/Karlsruhe%20Uni%20Hauptgebaeude.jpg;techniczny;niemiecki, angielski
47;Holandia;Europa;Uniwersytet Techniczny w Delfcie;Uniwersytet Techniczny w Delfcie to największa i najbardziej rozpoznawalna uczelnia techniczna w Holandii. Szczególnie mocno kojarzy się z inżynierią, architekturą, gospodarką wodną, transportem i projektowaniem technologii dla zrównoważonego rozwoju.;Holandia;Delft;52.001666666;4.370164;https://www.tudelft.nl/;http://commons.wikimedia.org/wiki/Special:FilePath/TU-Delft-Bibl-1.jpg;techniczny;angielski
